"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|""|0.0|5.0|25,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|100,"EngineRPM"|""|0|10000|100,"AxleRpm"|""|0|10000|100,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
2948414,1501039050956,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2948424,1501039050966,,,,,,,,,0,1440,0,,,,,,,,,,,,,,,
2948434,1501039050976,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2948444,1501039050986,3.13,,-0.04,-0.03,1.06,-2,-5,4,0,1665,0,36.113663,-115.145653,0.0,6.287,2036.1,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2948454,1501039050996,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2948464,1501039050996,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2948474,1501039051006,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2948484,1501039051016,3.15,,-0.05,-0.05,0.98,-3,-5,4,0,1545,0,,,,,,,,,,,,,,,
2948494,1501039051026,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2948504,1501039051036,,,,,,,,,0,1440,0,,,,,,,,,,,,,,,
2948514,1501039051046,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2948524,1501039051056,3.17,,0.01,-0.09,0.89,-3,-8,4,0,1665,0,,,,,,,,,,,,,,,
2948534,1501039051066,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2948544,1501039051076,,,,,,,,,0,1605,0,36.113663,-115.145653,0.0,6.287,2036.1,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2948554,1501039051096,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2948564,1501039051106,3.13,,0.01,-0.08,0.89,-2,-7,4,0,1545,0,,,,,,,,,,,,,,,
2948574,1501039051116,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2948584,1501039051126,,,,,,,,,0,1440,0,,,,,,,,,,,,,,,
2948594,1501039051136,,,,,,,,,0,1665,0,,,,,,,,,,,,,,,
2948604,1501039051146,3.16,,0.0,-0.05,0.87,-2,-8,4,0,1635,0,,,,,,,,,,,,,,,
2948614,1501039051156,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2948624,1501039051166,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2948634,1501039051176,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2948644,1501039051186,3.18,,0.0,-0.05,0.89,-2,-1,4,0,1515,0,36.113663,-115.145653,0.0,6.287,2036.1,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2948654,1501039051196,,,,,,,,,0,1440,0,,,,,,,,,,,,,,,
2948664,1501039051206,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2948674,1501039051216,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2948684,1501039051226,3.16,,-0.03,-0.04,0.85,-1,-0,5,0,1635,0,,,,,,,,,,,,,,,
2948694,1501039051236,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2948704,1501039051246,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2948714,1501039051256,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2948724,1501039051266,3.15,,-0.01,-0.07,0.9,-1,3,5,0,1515,0,,,,,,,,,,,,,,,
2948734,1501039051276,,,,,,,,,0,1440,0,,,,,,,,,,,,,,,
2948744,1501039051286,,,,,,,,,0,1590,0,36.113663,-115.145653,0.0,6.287,2036.1,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2948754,1501039051296,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2948764,1501039051306,3.16,,-0.01,-0.1,0.95,-2,5,4,0,1635,0,,,,,,,,,,,,,,,
2948774,1501039051316,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2948784,1501039051326,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2948794,1501039051336,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2948804,1501039051346,3.18,,-0.01,-0.1,1.07,-1,3,4,0,1515,0,,,,,,,,,,,,,,,
2948814,1501039051356,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2948824,1501039051366,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2948834,1501039051376,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2948844,1501039051386,3.17,,-0.01,-0.09,1.1,-1,3,2,0,1590,0,36.113663,-115.145653,0.0,6.287,2036.1,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2948854,1501039051398,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2948864,1501039051408,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2948874,1501039051418,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2948884,1501039051428,3.16,,0.0,-0.08,1.05,-0,-0,2,0,1440,0,,,,,,,,,,,,,,,
2948894,1501039051438,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2948904,1501039051448,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2948914,1501039051458,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2948924,1501039051468,3.21,,0.02,-0.06,1.03,-1,-2,4,0,1590,0,,,,,,,,,,,,,,,
