"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|""|0.0|5.0|25,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|100,"EngineRPM"|""|0|10000|100,"AxleRpm"|""|0|10000|100,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
2908314,1501039010856,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2908324,1501039010866,3.2,,-0.01,-0.05,1.14,-2,-8,4,0,1560,0,,,,,,,,,,,,,,,
2908334,1501039010876,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2908344,1501039010886,,,,,,,,,0,1500,0,36.113667,-115.145653,0.0,6.191,2042.2,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2908354,1501039010896,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2908364,1501039010906,3.07,,0.03,-0.05,1.25,-1,-10,4,0,1650,0,,,,,,,,,,,,,,,
2908374,1501039010916,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2908384,1501039010926,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2908394,1501039010936,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2908404,1501039010946,3.1,,0.03,-0.04,1.15,0,-7,3,0,1530,0,,,,,,,,,,,,,,,
2908414,1501039010956,,,,,,,,,0,1500,0,,,,,,,,,,,,,,,
2908424,1501039010966,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2908434,1501039010976,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2908444,1501039010986,3.08,,0.06,-0.03,1.1,0,-4,3,0,1650,0,36.113667,-115.145653,0.0,6.191,2042.2,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2908454,1501039010996,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
2908464,1501039011000,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2908474,1501039011010,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2908484,1501039011020,3.1,,0.03,-0.04,1.01,0,-3,4,0,1530,0,,,,,,,,,,,,,,,
2908494,1501039011030,,,,,,,,,0,1500,0,,,,,,,,,,,,,,,
2908504,1501039011040,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2908514,1501039011050,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2908524,1501039011060,3.11,,0.04,-0.03,0.92,-0,-6,3,0,1650,0,,,,,,,,,,,,,,,
2908534,1501039011070,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
2908544,1501039011080,,,,,,,,,0,1590,0,36.113667,-115.145653,0.0,6.191,2042.2,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2908554,1501039011096,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2908564,1501039011106,3.11,,0.02,-0.02,0.82,-0,-6,4,0,1530,0,,,,,,,,,,,,,,,
2908574,1501039011116,,,,,,,,,0,1500,0,,,,,,,,,,,,,,,
2908584,1501039011126,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2908594,1501039011136,,,,,,,,,0,1665,0,,,,,,,,,,,,,,,
2908604,1501039011146,3.07,,0.03,-0.03,0.79,-0,-9,5,0,1635,0,,,,,,,,,,,,,,,
2908614,1501039011156,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2908624,1501039011166,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2908634,1501039011176,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2908644,1501039011186,3.13,,0.01,-0.04,0.84,-1,-7,5,0,1500,0,36.113667,-115.145653,0.0,6.191,2042.2,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2908654,1501039011196,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2908664,1501039011206,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2908674,1501039011216,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2908684,1501039011226,3.12,,-0.04,-0.06,0.87,-1,-5,4,0,1635,0,,,,,,,,,,,,,,,
2908694,1501039011236,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2908704,1501039011246,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2908714,1501039011256,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2908724,1501039011266,3.14,,-0.03,-0.06,0.94,-1,-3,4,0,1500,0,,,,,,,,,,,,,,,
2908734,1501039011276,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2908744,1501039011286,,,,,,,,,0,1590,0,36.113667,-115.145653,0.0,6.191,2042.2,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2908754,1501039011296,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2908764,1501039011306,3.12,,-0.04,-0.07,0.92,-1,-1,4,0,1620,0,,,,,,,,,,,,,,,
2908774,1501039011316,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2908784,1501039011326,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2908794,1501039011336,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2908804,1501039011346,3.17,,-0.0,-0.08,1.08,-2,-2,5,0,1500,0,,,,,,,,,,,,,,,
2908814,1501039011356,,,,,,,,,0,1410,0,,,,,,,,,,,,,,,
2908824,1501039011366,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2908834,1501039011376,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
2908844,1501039011386,3.1,,-0.01,-0.09,1.07,-1,-0,3,0,1590,0,36.113667,-115.145653,0.0,6.191,2042.2,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2908854,1501039011396,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2908864,1501039011406,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2908874,1501039011416,,,,,,,,,0,1485,0,,,,,,,,,,,,,,,
2908884,1501039011426,3.16,,-0.03,-0.08,1.11,-0,-2,2,0,1425,0,,,,,,,,,,,,,,,
2908894,1501039011436,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2908904,1501039011446,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2908914,1501039011456,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2908924,1501039011466,3.15,,-0.04,-0.03,1.1,-0,-1,2,0,1590,0,,,,,,,,,,,,,,,
