"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|""|0.0|5.0|25,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|100,"EngineRPM"|""|0|10000|100,"AxleRpm"|""|0|10000|100,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
2651434,1501038753973,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2651444,1501038753983,3.18,,-0.04,0.02,1.03,-1,-7,4,0,1530,0,36.113678,-115.145668,0.0,5.625,2022.7,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2651454,1501038753993,,,,,,,,,0,1500,0,,,,,,,,,,,,,,,
2651464,1501038753997,,,,,,,,,0,1440,0,,,,,,,,,,,,,,,
2651474,1501038754007,,,,,,,,,0,1350,0,,,,,,,,,,,,,,,
2651484,1501038754017,3.2,,0.04,0.02,1.09,-2,-8,4,0,1560,0,,,,,,,,,,,,,,,
2651494,1501038754027,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
2651504,1501038754037,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2651514,1501038754047,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2651524,1501038754057,3.17,,0.03,-0.01,1.09,-2,-6,4,0,1530,0,,,,,,,,,,,,,,,
2651534,1501038754067,,,,,,,,,0,1500,0,,,,,,,,,,,,,,,
2651544,1501038754077,,,,,,,,,0,1455,0,36.113678,-115.145668,0.0,5.625,2022.7,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2651554,1501038754093,,,,,,,,,0,1365,0,,,,,,,,,,,,,,,
2651564,1501038754103,3.18,,0.09,-0.01,1.17,-2,-7,3,0,1560,0,,,,,,,,,,,,,,,
2651574,1501038754113,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
2651584,1501038754123,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
