"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|""|0.0|5.0|25,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|100,"EngineRPM"|""|0|10000|100,"AxleRpm"|""|0|10000|100,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
2778774,1501038881312,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2778784,1501038881322,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
2778794,1501038881332,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2778804,1501038881342,3.21,,-0.03,-0.02,0.88,-2,-9,4,0,1545,0,,,,,,,,,,,,,,,
2778814,1501038881352,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2778824,1501038881362,,,,,,,,,0,1470,0,,,,,,,,,,,,,,,
2778834,1501038881372,,,,,,,,,0,1380,0,,,,,,,,,,,,,,,
2778844,1501038881382,3.21,,-0.03,-0.03,0.93,-2,-9,4,0,1560,0,36.113663,-115.145653,0.0,5.905,2038.3,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2778854,1501038881392,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2778864,1501038881402,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2778874,1501038881412,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2778884,1501038881422,3.21,,0.01,-0.07,1.02,-2,-9,5,0,1545,0,,,,,,,,,,,,,,,
2778894,1501038881432,,,,,,,,,0,1500,0,,,,,,,,,,,,,,,
2778904,1501038881442,,,,,,,,,0,1470,0,,,,,,,,,,,,,,,
2778914,1501038881452,,,,,,,,,0,1380,0,,,,,,,,,,,,,,,
2778924,1501038881462,3.21,,0.0,-0.04,1.06,-3,-8,5,0,1575,0,,,,,,,,,,,,,,,
2778934,1501038881472,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2778944,1501038881482,,,,,,,,,0,1620,0,36.113663,-115.145653,0.0,5.905,2038.3,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2778954,1501038881493,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2778964,1501038881503,3.19,,0.02,-0.05,1.05,-2,-6,5,0,1545,0,,,,,,,,,,,,,,,
2778974,1501038881513,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2778984,1501038881523,,,,,,,,,0,1485,0,,,,,,,,,,,,,,,
2778994,1501038881533,,,,,,,,,0,1380,0,,,,,,,,,,,,,,,
2779004,1501038881543,3.21,,0.05,-0.05,1.14,-3,-3,5,0,1575,0,,,,,,,,,,,,,,,
2779014,1501038881553,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2779024,1501038881563,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
2779034,1501038881573,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2779044,1501038881583,3.19,4.52,0.03,-0.06,1.15,-3,-2,5,0,1560,0,36.113663,-115.145653,0.0,5.905,2038.3,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2779054,1501038881593,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2779064,1501038881603,,,,,,,,,0,1470,0,,,,,,,,,,,,,,,
2779074,1501038881613,,,,,,,,,0,1395,0,,,,,,,,,,,,,,,
2779084,1501038881623,3.15,,0.03,-0.05,1.27,-3,1,6,0,1635,0,,,,,,,,,,,,,,,
2779094,1501038881633,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
2779104,1501038881643,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2779114,1501038881653,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2779124,1501038881663,3.15,,0.03,-0.04,1.19,-3,-1,5,0,1500,0,,,,,,,,,,,,,,,
2779134,1501038881673,,,,,,,,,0,1470,0,,,,,,,,,,,,,,,
2779144,1501038881683,,,,,,,,,0,1395,0,36.113663,-115.145653,0.0,5.905,2038.3,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2779154,1501038881693,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2779164,1501038881703,3.18,,0.03,-0.04,1.2,-3,-3,4,0,1635,0,,,,,,,,,,,,,,,
2779174,1501038881713,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
2779184,1501038881723,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2779194,1501038881733,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2779204,1501038881743,3.22,,0.01,-0.01,1.19,-2,-4,3,0,1500,0,,,,,,,,,,,,,,,
2779214,1501038881753,,,,,,,,,0,1470,0,,,,,,,,,,,,,,,
2779224,1501038881763,,,,,,,,,0,1380,0,,,,,,,,,,,,,,,
