038505189,,,,,,,,,0,0,0,,,,,,,,,,,,,,,
"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|""|0.0|5.0|25,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|100,"EngineRPM"|""|0|10000|100,"AxleRpm"|""|0|10000|100,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
2611224,1501038713763,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2611234,1501038713773,,,,,,,,,0,1470,0,,,,,,,,,,,,,,,
2611244,1501038713783,3.22,,-0.06,0.02,1.06,-3,-9,6,0,1380,0,36.113655,-115.145653,0.0,5.526,2028.1,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2611254,1501038713793,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2611264,1501038713803,,,,,,,,,0,1665,0,,,,,,,,,,,,,,,
2611274,1501038713813,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2611284,1501038713823,3.25,,-0.03,0.04,0.99,-3,-15,5,0,1590,0,,,,,,,,,,,,,,,
2611294,1501038713833,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2611304,1501038713843,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2611314,1501038713853,,,,,,,,,0,1470,0,,,,,,,,,,,,,,,
2611324,1501038713863,3.21,,-0.04,0.02,0.93,-3,-17,4,0,1380,0,,,,,,,,,,,,,,,
2611334,1501038713873,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2611344,1501038713883,,,,,,,,,0,1650,0,36.113655,-115.145653,0.0,5.526,2028.1,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2611354,1501038713893,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
2611364,1501038713903,3.21,,-0.0,-0.0,0.91,-3,-18,3,0,1575,0,,,,,,,,,,,,,,,
2611374,1501038713913,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2611384,1501038713923,,,,,,,,,0,1500,0,,,,,,,,,,,,,,,
2611394,1501038713933,,,,,,,,,0,1455,0,,,,,,,,,,,,,,,
2611404,1501038713943,3.18,,0.06,-0.03,0.92,-3,-18,2,0,1365,0,,,,,,,,,,,,,,,
2611414,1501038713953,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2611424,1501038713963,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2611434,1501038713973,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2611444,1501038713983,3.23,,0.05,-0.05,0.89,-3,-19,3,0,1560,0,36.113655,-115.145653,0.0,5.526,2028.1,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2611454,1501038713993,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2611464,1501038713995,,,,,,,,,0,1485,0,,,,,,,,,,,,,,,
2611474,1501038714005,,,,,,,,,0,1440,0,,,,,,,,,,,,,,,
2611484,1501038714015,3.19,,0.1,-0.05,0.94,-4,-20,4,0,1350,0,,,,,,,,,,,,,,,
2611494,1501038714025,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2611504,1501038714035,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
2611514,1501038714045,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2611524,1501038714055,3.22,,0.09,-0.07,0.93,-4,-18,6,0,1545,0,,,,,,,,,,,,,,,
2611534,1501038714065,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2611544,1501038714075,,,,,,,,,0,1470,0,36.113655,-115.145653,0.0,5.526,2028.1,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2611554,1501038714091,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2611564,1501038714101,3.17,,0.13,-0.05,0.97,-4,-17,6,0,1320,0,,,,,,,,,,,,,,,
2611574,1501038714111,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2611584,1501038714121,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2611594,1501038714131,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2611604,1501038714141,3.21,,0.11,-0.07,0.97,-5,-16,8,0,1530,0,,,,,,,,,,,,,,,
2611614,1501038714151,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2611624,1501038714161,,,,,,,,,0,1470,0,,,,,,,,,,,,,,,
2611634,1501038714171,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2611644,1501038714181,3.15,,0.14,-0.04,1.02,-5,-15,8,0,1320,0,36.113655,-115.145653,0.0,5.526,2028.1,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2611654,1501038714193,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2611664,1501038714203,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
2611674,1501038714213,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2611684,1501038714223,3.2,,0.11,-0.06,0.99,-5,-14,10,0,1545,0,,,,,,,,,,,,,,,
2611694,1501038714233,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2611704,1501038714243,,,,,,,,,0,1470,0,,,,,,,,,,,,,,,
2611714,1501038714253,,,,,,,,,0,1440,0,,,,,,,,,,,,,,,
2611724,1501038714263,3.15,,0.14,-0.02,1.04,-6,-14,10,0,1335,0,,,,,,,,,,,,,,,
2611734,1501038714273,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2611744,1501038714283,,,,,,,,,0,1620,0,36.113655,-115.145653,0.0,5.526,2028.1,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2611754,1501038714292,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2611764,1501038714302,3.18,,0.11,-0.04,1.01,-6,-13,11,0,1560,0,,,,,,,,,,,,,,,
2611774,1501038714312,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2611784,1501038714322,,,,,,,,,0,1485,0,,,,,,,,,,,,,,,
2611794,1501038714332,,,,,,,,,0,1440,0,,,,,,,,,,,,,,,
2611804,1501038714342,3.14,,0.12,-0.01,0.99,-6,-13,10,0,1335,0,,,,,,,,,,,,,,,
2611814,1501038714352,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2611824,1501038714362,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2611834,1501038714372,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2611844,1501038714382,3.14,,0.08,-0.06,0.99,-5,-13,11,0,1545,0,36.113655,-115.145653,0.0,5.526,2028.1,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2611854,1501038714392,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2611864,1501038714402,,,,,,,,,0,1500,0,,,,,,,,,,,,,,,
2611874,1501038714412,,,,,,,,,0,1455,0,,,,,,,,,,,,,,,
2611884,1501038714422,3.12,,0.05,-0.06,0.95,-5,-11,9,0,1560,0,,,,,,,,,,,,,,,
2611894,1501038714432,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2611904,1501038714442,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
2611914,1501038714452,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2611924,1501038714462,3.16,,0.04,-0.08,0.99,-4,-8,8,0,1545,0,,,,,,,,,,,,,,,
2611934,1501038714472,,,,,,,,,0,1500,0,,,,,,,,,,,,,,,
2611944,1501038714482,,,,,,,,,0,1455,0,36.113655,-115.145653,0.0,5.526,2028.1,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2611954,1501038714492,,,,,,,,,0,1365,0,,,,,,,,,,,,,,,
2611964,1501038714502,3.14,,-0.0,-0.07,0.96,-3,-5,7,0,1560,0,,,,,,,,,,,,,,,
2611974,1501038714512,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2611984,1501038714522,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2611994,1501038714532,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2612004,1501038714542,3.14,,0.01,-0.06,1.02,-3,-1,7,0,1530,0,,,,,,,,,,,,,,,
2612014,1501038714552,,,,,,,,,0,1485,0,,,,,,,,,,,,,,,
2612024,1501038714562,,,,,,,,,0,1440,0,,,,,,,,,,,,,,,
2612034,1501038714572,,,,,,,,,0,1350,0,,,,,,,,,,,,,,,
2612044,1501038714582,3.15,4.52,-0.02,-0.01,1.01,-1,6,7,0,1560,0,36.113655,-115.145653,0.0,5.526,2028.1,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
