"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|""|0.0|5.0|25,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|100,"EngineRPM"|""|0|10000|100,"AxleRpm"|""|0|10000|100,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
2819434,1501038921975,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2819444,1501038921985,3.21,,-0.03,-0.03,1.03,-2,-8,4,0,1545,0,36.113674,-115.145653,0.0,6.001,2038.7,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2819454,1501038921995,,,,,,,,,0,1500,0,,,,,,,,,,,,,,,
2819464,1501038921999,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2819474,1501038922009,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2819484,1501038922019,3.24,,0.0,-0.04,0.96,-2,-8,3,0,1665,0,,,,,,,,,,,,,,,
2819494,1501038922029,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2819504,1501038922039,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2819514,1501038922049,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2819524,1501038922059,3.22,,0.01,-0.06,0.94,-2,-8,3,0,1530,0,,,,,,,,,,,,,,,
2819534,1501038922069,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2819544,1501038922079,,,,,,,,,0,1425,0,36.113674,-115.145653,0.0,6.001,2038.8,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2819554,1501038922093,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2819564,1501038922103,3.23,,0.03,-0.04,0.87,-2,-9,3,0,1665,0,,,,,,,,,,,,,,,
2819574,1501038922113,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2819584,1501038922123,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2819594,1501038922133,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2819604,1501038922143,3.18,,0.0,-0.06,0.91,-2,-7,3,0,1500,0,,,,,,,,,,,,,,,
2819614,1501038922153,,,,,,,,,0,1440,0,,,,,,,,,,,,,,,
2819624,1501038922163,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2819634,1501038922173,,,,,,,,,0,1665,0,,,,,,,,,,,,,,,
2819644,1501038922183,3.2,,-0.04,-0.07,0.88,-1,-4,3,0,1635,0,36.113674,-115.145653,0.0,6.001,2039.0,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2819654,1501038922195,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2819664,1501038922205,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2819674,1501038922215,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2819684,1501038922225,3.19,,-0.03,-0.06,0.92,-1,-2,3,0,1500,0,,,,,,,,,,,,,,,
2819694,1501038922235,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2819704,1501038922245,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2819714,1501038922255,,,,,,,,,0,1665,0,,,,,,,,,,,,,,,
2819724,1501038922265,3.17,,-0.05,-0.05,0.88,-1,0,4,0,1650,0,,,,,,,,,,,,,,,
2819734,1501038922275,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2819744,1501038922285,,,,,,,,,0,1575,0,36.113674,-115.145653,0.0,6.001,2039.2,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2819754,1501038922295,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2819764,1501038922305,3.17,,-0.03,-0.02,1.01,-2,-0,5,0,1515,0,,,,,,,,,,,,,,,
2819774,1501038922315,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2819784,1501038922325,,,,,,,,,0,1665,0,,,,,,,,,,,,,,,
2819794,1501038922335,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2819804,1501038922345,3.17,,-0.04,-0.03,1.0,-1,1,4,0,1590,0,,,,,,,,,,,,,,,
2819814,1501038922355,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
