"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|""|0.0|5.0|25,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|100,"EngineRPM"|""|0|10000|100,"AxleRpm"|""|0|10000|100,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
4224444,1501040326995,3.34,,-0.06,-0.11,0.57,-1,-6,2,0,1320,0,36.113461,-115.146027,0.0,9.721,2027.5,8,2,2.5,0,0.0,-1,0.0,0.0,0.0,0
4224454,1501040327005,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
4224464,1501040327015,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
4224474,1501040327025,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
4224484,1501040327035,3.35,,-0.05,-0.12,0.54,-2,-5,2,0,1530,0,,,,,,,,,,,,,,,
4224494,1501040327045,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
4224504,1501040327055,,,,,,,,,0,1455,0,,,,,,,,,,,,,,,
4224514,1501040327065,,,,,,,,,0,1395,0,,,,,,,,,,,,,,,
4224524,1501040327075,3.35,,-0.07,-0.13,0.61,-2,-3,2,0,1320,0,,,,,,,,,,,,,,,
4224534,1501040327093,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
4224544,1501040327103,,,,,,,,,0,1605,0,36.113461,-115.146027,0.0,9.721,2027.5,8,2,2.5,0,0.0,-1,0.0,0.0,0.0,0
4224554,1501040327113,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
4224564,1501040327123,3.32,,-0.05,-0.13,0.55,-2,-5,3,0,1545,0,,,,,,,,,,,,,,,
4224574,1501040327133,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
4224584,1501040327143,,,,,,,,,0,1455,0,,,,,,,,,,,,,,,
4224594,1501040327153,,,,,,,,,0,1395,0,,,,,,,,,,,,,,,
4224604,1501040327163,3.28,,-0.08,-0.13,0.65,-2,-4,3,0,1320,0,,,,,,,,,,,,,,,
4224614,1501040327173,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
4224624,1501040327183,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
4224634,1501040327193,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
4224644,1501040327203,3.32,,-0.07,-0.1,0.58,-2,-6,3,0,1545,0,36.113461,-115.146027,0.0,9.721,2027.5,8,2,2.5,0,0.0,-1,0.0,0.0,0.0,0
4224654,1501040327213,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
4224664,1501040327223,,,,,,,,,0,1455,0,,,,,,,,,,,,,,,
4224674,1501040327233,,,,,,,,,0,1410,0,,,,,,,,,,,,,,,
4224684,1501040327243,3.27,,-0.1,-0.1,0.63,-2,-7,3,0,1320,0,,,,,,,,,,,,,,,
4224694,1501040327253,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
4224704,1501040327263,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
4224714,1501040327273,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
4224724,1501040327283,3.27,,-0.1,-0.07,0.65,-2,-9,2,0,1560,0,,,,,,,,,,,,,,,
4224734,1501040327293,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
4224744,1501040327303,,,,,,,,,0,1455,0,36.113461,-115.146027,0.0,9.721,2027.5,8,2,2.5,0,0.0,-1,0.0,0.0,0.0,0
