"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|""|0.0|5.0|25,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|100,"EngineRPM"|""|0|10000|100,"AxleRpm"|""|0|10000|100,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
2693284,1501038795823,3.18,,-0.04,-0.01,1.17,-2,-7,3,0,1665,0,,,,,,,,,,,,,,,
2693294,1501038795833,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2693304,1501038795843,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2693314,1501038795853,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2693324,1501038795863,3.2,,-0.03,-0.03,1.09,-2,-7,3,0,1545,0,,,,,,,,,,,,,,,
2693334,1501038795873,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2693344,1501038795883,,,,,,,,,0,1440,0,36.113674,-115.145668,0.0,5.719,2041.1,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2693354,1501038795893,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2693364,1501038795903,3.21,,-0.0,-0.07,1.01,-2,-7,3,0,1665,0,,,,,,,,,,,,,,,
2693374,1501038795913,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2693384,1501038795923,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2693394,1501038795933,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2693404,1501038795943,3.2,,-0.01,-0.08,0.97,-2,-6,3,0,1545,0,,,,,,,,,,,,,,,
2693414,1501038795953,,,,,,,,,0,1500,0,,,,,,,,,,,,,,,
2693424,1501038795963,,,,,,,,,0,1440,0,,,,,,,,,,,,,,,
2693434,1501038795973,,,,,,,,,0,1665,0,,,,,,,,,,,,,,,
2693444,1501038795983,3.17,,0.0,-0.07,0.89,-2,-6,4,0,1635,0,36.113674,-115.145668,0.0,5.719,2041.1,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2693454,1501038795993,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2693464,1501038795997,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2693474,1501038796007,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2693484,1501038796017,3.21,,-0.02,-0.03,0.94,-2,-6,4,0,1515,0,,,,,,,,,,,,,,,
2693494,1501038796027,,,,,,,,,0,1440,0,,,,,,,,,,,,,,,
2693504,1501038796037,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2693514,1501038796047,,,,,,,,,0,1665,0,,,,,,,,,,,,,,,
2693524,1501038796057,3.2,,-0.05,-0.02,0.87,-1,-3,4,0,1650,0,,,,,,,,,,,,,,,
2693534,1501038796067,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2693544,1501038796077,,,,,,,,,0,1575,0,36.113674,-115.145668,0.0,5.719,2041.1,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2693554,1501038796093,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2693564,1501038796103,3.2,,-0.02,-0.02,0.96,-1,-2,4,0,1515,0,,,,,,,,,,,,,,,
2693574,1501038796113,,,,,,,,,0,1440,0,,,,,,,,,,,,,,,
2693584,1501038796123,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2693594,1501038796133,,,,,,,,,0,1680,0,,,,,,,,,,,,,,,
2693604,1501038796143,3.18,,-0.03,-0.02,0.97,-1,-0,4,0,1650,0,,,,,,,,,,,,,,,
2693614,1501038796153,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2693624,1501038796163,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2693634,1501038796173,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2693644,1501038796183,3.14,,-0.03,-0.02,1.06,-1,-1,4,0,1440,0,36.113674,-115.145668,0.0,5.719,2041.1,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2693654,1501038796193,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2693664,1501038796203,,,,,,,,,0,1665,0,,,,,,,,,,,,,,,
2693674,1501038796213,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2693684,1501038796223,3.19,,-0.03,-0.0,1.09,-1,-1,4,0,1605,0,,,,,,,,,,,,,,,
2693694,1501038796233,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2693704,1501038796243,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2693714,1501038796253,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2693724,1501038796263,3.16,,-0.01,-0.04,1.07,-0,-3,4,0,1440,0,,,,,,,,,,,,,,,
2693734,1501038796273,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2693744,1501038796283,,,,,,,,,0,1650,0,36.113674,-115.145668,0.0,5.719,2041.1,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2693754,1501038796295,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2693764,1501038796305,3.18,,0.02,-0.05,1.03,-0,-4,3,0,1590,0,,,,,,,,,,,,,,,
2693774,1501038796315,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2693784,1501038796325,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2693794,1501038796335,,,,,,,,,0,1500,0,,,,,,,,,,,,,,,
2693804,1501038796345,3.17,,0.05,-0.06,0.99,-1,-8,3,0,1425,0,,,,,,,,,,,,,,,
2693814,1501038796355,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2693824,1501038796365,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2693834,1501038796375,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2693844,1501038796385,3.18,,0.03,-0.04,1.01,-1,-7,5,0,1575,0,36.113674,-115.145668,0.0,5.719,2041.1,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2693854,1501038796395,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2693864,1501038796398,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2693874,1501038796408,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2693884,1501038796418,3.17,,0.0,-0.02,0.94,-0,-7,4,0,1605,0,,,,,,,,,,,,,,,
2693894,1501038796428,,,,,,,,,0,1665,0,,,,,,,,,,,,,,,
2693904,1501038796438,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2693914,1501038796448,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2693924,1501038796458,3.18,,-0.01,-0.04,0.98,-1,-5,3,0,1575,0,,,,,,,,,,,,,,,
2693934,1501038796468,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2693944,1501038796478,,,,,,,,,0,1515,0,36.113674,-115.145668,0.0,5.719,2041.1,9,3,1.8,0,0.0,-1,0.0,0.0,0.0,0
2693954,1501038796492,,,,,,,,,0,1440,0,,,,,,,,,,,,,,,
2693964,1501038796502,3.2,,-0.03,0.02,0.94,-2,-3,4,0,1605,0,,,,,,,,,,,,,,,
2693974,1501038796512,,,,,,,,,0,1665,0,,,,,,,,,,,,,,,
2693984,1501038796522,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2693994,1501038796532,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2694004,1501038796542,3.18,,-0.03,-0.02,0.94,-2,-2,4,0,1575,0,,,,,,,,,,,,,,,
