"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|""|0.0|5.0|25,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|100,"EngineRPM"|""|0|10000|100,"AxleRpm"|""|0|10000|100,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
2987394,1501039089937,,,,,,,,,0,1485,0,,,,,,,,,,,,,,,
2987404,1501039089947,3.12,,0.04,0.0,0.79,-3,-10,4,0,1410,0,,,,,,,,,,,,,,,
2987414,1501039089957,,,,,,,,,0,1665,0,,,,,,,,,,,,,,,
2987424,1501039089967,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2987434,1501039089977,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2987444,1501039089987,3.16,,0.03,0.01,0.81,-3,-9,4,0,1560,0,36.113663,-115.145668,0.0,6.38,2041.8,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2987454,1501039089991,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2987464,1501039090001,,,,,,,,,0,1500,0,,,,,,,,,,,,,,,
2987474,1501039090011,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2987484,1501039090021,3.16,,-0.01,0.02,0.87,-3,-5,4,0,1590,0,,,,,,,,,,,,,,,
2987494,1501039090031,,,,,,,,,0,1665,0,,,,,,,,,,,,,,,
2987504,1501039090041,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2987514,1501039090051,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2987524,1501039090061,3.15,,-0.02,-0.0,0.94,-2,-6,4,0,1560,0,,,,,,,,,,,,,,,
2987534,1501039090071,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2987544,1501039090081,,,,,,,,,0,1500,0,36.113663,-115.145668,0.0,6.38,2041.8,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2987554,1501039090097,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2987564,1501039090107,3.16,,-0.02,-0.04,0.95,-3,1,8,0,1575,0,,,,,,,,,,,,,,,
2987574,1501039090117,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2987584,1501039090127,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
2987594,1501039090137,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2987604,1501039090147,3.2,,-0.03,-0.05,1.0,-2,4,7,0,1545,0,,,,,,,,,,,,,,,
2987614,1501039090157,,,,,,,,,0,1515,0,,,,,,,,,,,,,,,
2987624,1501039090167,,,,,,,,,0,1485,0,,,,,,,,,,,,,,,
2987634,1501039090177,,,,,,,,,0,1410,0,,,,,,,,,,,,,,,
2987644,1501039090187,3.23,,-0.0,-0.04,1.11,-3,6,7,0,1575,0,36.113663,-115.145668,0.0,6.38,2041.8,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2987654,1501039090197,,,,,,,,,0,1635,0,,,,,,,,,,,,,,,
2987664,1501039090207,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2987674,1501039090217,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2987684,1501039090227,3.19,,-0.0,-0.04,1.08,-2,5,7,0,1500,0,,,,,,,,,,,,,,,
2987694,1501039090237,,,,,,,,,0,1500,0,,,,,,,,,,,,,,,
2987704,1501039090247,,,,,,,,,0,1485,0,,,,,,,,,,,,,,,
2987714,1501039090257,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2987724,1501039090267,3.24,,0.0,-0.06,1.2,-2,4,5,0,1635,0,,,,,,,,,,,,,,,
2987734,1501039090277,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2987744,1501039090287,,,,,,,,,0,1575,0,36.113663,-115.145668,0.0,6.38,2041.8,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2987754,1501039090297,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2987764,1501039090307,3.26,,0.0,-0.03,1.16,-2,1,5,0,1500,0,,,,,,,,,,,,,,,
2987774,1501039090317,,,,,,,,,0,1470,0,,,,,,,,,,,,,,,
2987784,1501039090327,,,,,,,,,0,1395,0,,,,,,,,,,,,,,,
2987794,1501039090337,,,,,,,,,0,1560,0,,,,,,,,,,,,,,,
2987804,1501039090347,3.24,,0.01,-0.05,1.13,-1,-1,3,0,1650,0,,,,,,,,,,,,,,,
2987814,1501039090357,,,,,,,,,0,1620,0,,,,,,,,,,,,,,,
2987824,1501039090367,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2987834,1501039090377,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2987844,1501039090387,3.24,,0.02,-0.02,1.08,-1,-2,3,0,1515,0,36.113663,-115.145668,0.0,6.38,2041.8,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2987854,1501039090397,,,,,,,,,0,1485,0,,,,,,,,,,,,,,,
2987864,1501039090407,,,,,,,,,0,1410,0,,,,,,,,,,,,,,,
2987874,1501039090417,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2987884,1501039090427,3.25,,0.04,-0.02,1.05,-1,-6,4,0,1650,0,,,,,,,,,,,,,,,
