"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Analog1"|""|0.0|5.0|25,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|100,"EngineRPM"|""|0|10000|100,"AxleRpm"|""|0|10000|100,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
2858534,1501038961068,,,,,,,,,0,1500,0,,,,,,,,,,,,,,,
2858544,1501038961078,,,,,,,,,0,1590,0,36.113663,-115.145638,0.0,6.097,2051.4,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2858554,1501038961092,,,,,,,,,0,1665,0,,,,,,,,,,,,,,,
2858564,1501038961102,3.24,,-0.01,-0.03,0.96,-4,-6,3,0,1635,0,,,,,,,,,,,,,,,
2858574,1501038961112,,,,,,,,,0,1605,0,,,,,,,,,,,,,,,
2858584,1501038961122,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2858594,1501038961132,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2858604,1501038961142,3.22,,-0.01,-0.05,0.99,-3,-5,2,0,1500,0,,,,,,,,,,,,,,,
2858614,1501038961152,,,,,,,,,0,1440,0,,,,,,,,,,,,,,,
2858624,1501038961162,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2858634,1501038961172,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2858644,1501038961182,3.2,,-0.03,-0.09,1.03,-4,-5,4,0,1635,0,36.113663,-115.145638,0.0,6.097,2051.4,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2858654,1501038961194,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2858664,1501038961204,,,,,,,,,0,1575,0,,,,,,,,,,,,,,,
2858674,1501038961214,,,,,,,,,0,1545,0,,,,,,,,,,,,,,,
2858684,1501038961224,3.21,,0.0,-0.05,1.03,-4,-4,5,0,1500,0,,,,,,,,,,,,,,,
2858694,1501038961234,,,,,,,,,0,1425,0,,,,,,,,,,,,,,,
2858704,1501038961244,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2858714,1501038961254,,,,,,,,,0,1650,0,,,,,,,,,,,,,,,
2858724,1501038961264,3.19,,0.02,-0.08,1.0,-3,0,7,0,1635,0,,,,,,,,,,,,,,,
2858734,1501038961274,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
2858744,1501038961284,,,,,,,,,0,1575,0,36.113663,-115.145638,0.0,6.097,2051.4,9,3,1.9,0,0.0,-1,0.0,0.0,0.0,0
2858754,1501038961294,,,,,,,,,0,1530,0,,,,,,,,,,,,,,,
2858764,1501038961304,3.18,,-0.01,-0.05,1.06,-3,2,6,0,1500,0,,,,,,,,,,,,,,,
2858774,1501038961314,,,,,,,,,0,1590,0,,,,,,,,,,,,,,,
